Path_id,Type,Name,Settings,isFirstSection,isLastSection,EdgeFrom,EdgeFrom
0,Location,a,down,,,,
0,Section,b1,,TRUE,FALSE,a,s1
0,Signal,s1,up;b2,,,,
0,Signal,s2,down;b1,,,,
0,Section,b2,,FALSE,FALSE,s1,s2
0,Point,p1,b2;b4;b3,,,s2,s3
0,Point,p1,b2;b4;b3,,,s2,s5
0,Signal,s3,down;p1,,,,
0,Signal,s5,down;p1,,,,
0,Section,b3,minus,FALSE,FALSE,s3,s4
0,Section,b4,plus,FALSE,FALSE,s5,s6
0,Signal,s4,up;p2,,,,
0,Signal,s6,up;p2,,,,
0,Point,p2,b5;b4;b3,,,s6,s7
0,Point,p2,b5;b4;b3,,,s4,s7
0,Section,b5,,FALSE,FALSE,s7,s8
0,Signal,s7,up;b6,,,,
0,Signal,s8,down;b5,,,,
0,Section,b6,,FALSE,TRUE,s8,b
0,Location,b,up,,,,
