Path_id,Type,Name,Settings,EdgeFrom,EdgeTo
0,Location,a,,a,b1
0,Section,b1,,b1,s1
0,Signal,s1,up;b2,s1,s2
0,Signal,s2,down; b1,s2,b2
0,Section,b2,,b2,p1
0,Point,p1,b2;b3;b8,p1,s3
0,Signal,s3,down;p1;plus,s3,b3
0,Section,b3,,b3,s4
0,Signal,s4,up;p2;plus,s4,p2
0,Point,p2,b3;b5;b4,p2,s5
0,Signal,s7,down;p2;plus,s5,b4
0,Signal,s5,down;p2;minus,b4,s6
0,Section,b5,,s6,p3
0,Section,b4,,p2,s7
0,Signal,s8,up;p2;plus,s7,b5
0,Signal,s6,up;p3;minus,b5,s8
0,Point,p3,b6;b5;b4,s8,p3
0,Section,b6,,p3,b6
0,Signal,s9,up;b7,b6,s9
0,Signal,s10,down;b6,s9,s10
0,Section,b7,,s10,b7
0,Location,b,,b7,b
1,Signal,s11,down;p4;minus,p1,s12
1,Section,b8,,s12,b8
1,Signal,s12,up;p1;minus,b8,s11
1,Point,p4,b10;b11;b8,s11,p4
1,Section,b10,,p4,b10
1,Signal,s14,down;b9,b10,s14
1,Signal,s13,up;b10,s14,s13
1,Section,b9,,s13,b9
1,Location,d,,b9,d
2,Signal,s15,down;p4,p4,s15
2,Section,b11,,s15,b11
2,Signal,s16,up;p5,b11,s16
2,Point,p5,b11;b13;b12,s16,p5
2,Signal,s17,down;p5;minus,p5,s17
2,Signal,s19,down;p5;plus,s17,b12
2,Section,b12,,b12,s18
2,Section,b13,,s18,p6
2,Signal,s18,up;p6;minus,p5,s19
2,Signal,s20,up;p6;plus,s19,b13
2,Point,p6,b14;b13;b12,b13,s20
2,Section,b14,,s20,p6
2,Signal,s21,up;b15,p6,b14
2,Signal,s22,down;b14,b14,s21
2,Section,b15,,s21,s22
,,,,s22,b15
2,Location,c,,b15,c
